#[SH0ES_CALIB][HEALPIX] This is the data for LCDM distribution with new set of data for each repetition
# 500 repetitions, 1536 points, q0f= -0.574 h0f= 0.7304
# 
# delta_h0_lcdm_max            delta_q0_lcdm_max
1.941406249999988454e-02 1.469140625000002531e+00
1.428710937499988454e-02 1.361132812500002176e+00
2.084960937500002220e-02 1.616992187500002398e+00
2.686523437500010214e-02 1.837011718750003020e+00
2.590820312500008438e-02 1.867382812500002487e+00
1.975585937499990674e-02 1.312890625000002309e+00
2.225097656249996891e-02 1.584375000000002975e+00
1.257812499999999556e-02 1.013378906250000933e+00
1.179199218749993339e-02 1.162890625000001732e+00
1.312499999999983125e-02 9.010742187500014877e-01
1.667968749999992895e-02 1.167480468750001554e+00
2.098632812499989786e-02 1.607128906250002709e+00
1.654296874999994227e-02 1.153320312500001776e+00
1.808105468749998668e-02 1.341015625000002043e+00
1.633789062500001776e-02 1.332812500000002176e+00
2.286621093749996447e-02 1.511425781250002931e+00
1.247558593750008882e-02 9.219726562500019096e-01
1.237304687499996003e-02 9.440429687500018208e-01
1.708984375000011102e-02 1.192285156250002309e+00
1.708984375000000000e-02 1.182128906250001998e+00
1.688476562499996447e-02 1.159472656250001954e+00
1.609863281250001332e-02 1.054003906250001732e+00
1.449218749999992006e-02 1.293457031250001998e+00
2.467773437499998224e-02 1.910058593750003419e+00
1.199707031249996891e-02 1.112109375000001732e+00
1.968750000000007994e-02 1.529101562500002398e+00
1.367187500000000000e-02 1.178906250000002265e+00
1.404785156249988010e-02 1.442968750000002132e+00
2.119140625000004441e-02 1.492578125000002531e+00
2.392578125000000000e-02 1.628710937500002620e+00
1.633789062500001776e-02 1.174511718750001821e+00
2.108886718749991562e-02 1.688867187500002087e+00
2.166992187499994227e-02 1.568359375000002220e+00
1.380859374999987566e-02 1.203027343750002309e+00
1.397949218749994227e-02 1.160839843750001821e+00
1.199707031249996891e-02 1.074121093750001421e+00
1.626953124999985789e-02 1.062207031250002043e+00
1.674804687499997780e-02 1.326074218750002087e+00
1.298828124999995559e-02 1.348730468750001688e+00
1.794433593750011102e-02 1.120996093750001421e+00
2.433593750000007105e-02 2.056250000000003020e+00
1.155273437500003997e-02 7.178710937500013545e-01
1.278320312499992006e-02 1.049316406250001554e+00
1.606445312499993339e-02 1.005371093750002220e+00
2.272949218750008882e-02 1.407812500000002132e+00
1.685058593750010658e-02 1.529003906250002487e+00
1.579101562499984901e-02 1.224902343750001954e+00
1.968750000000007994e-02 1.549414062500002798e+00
1.664550781250007105e-02 1.013183593750001332e+00
1.438964843750001332e-02 1.174023437500002487e+00
1.777343749999993339e-02 1.364550781250001510e+00
1.418457031249997780e-02 9.114257812500012879e-01
1.220214843750000444e-02 1.105273437500001732e+00
1.148437499999988010e-02 9.426757812500016209e-01
1.401367187499991118e-02 1.290917968750001643e+00
2.177246093750007105e-02 1.628417968750003109e+00
1.722656250000009770e-02 1.402050781250002265e+00
1.490234374999988010e-02 1.416992187500002442e+00
1.838867187499992895e-02 1.478515625000002442e+00
1.876464843749992006e-02 1.338964843750001688e+00
1.527832031249998224e-02 9.160156250000014433e-01
1.346679687499996447e-02 1.085253906250001288e+00
1.791015625000003109e-02 1.504394531250002442e+00
1.462890624999990674e-02 9.125000000000013101e-01
1.141601562499994227e-02 8.008789062500013545e-01
1.350097656250004441e-02 1.184082031250001776e+00
1.131347656249992450e-02 8.918945312500012879e-01
1.336425781249994671e-02 1.371289062500002043e+00
1.483398437499983125e-02 1.187500000000001332e+00
1.722656249999998668e-02 1.241210937500001776e+00
1.155273437500003997e-02 1.024023437500002132e+00
1.914062500000002220e-02 1.423925781250002576e+00
1.770507812499999556e-02 1.105371093750001865e+00
1.370605468749985789e-02 9.920898437500018652e-01
1.080078124999983569e-02 1.133886718750001688e+00
1.708984375000011102e-02 1.091308593750001776e+00
1.206542968749990674e-02 1.130859375000001554e+00
1.257812499999999556e-02 1.179003906250001954e+00
1.216796874999981348e-02 1.232519531250001021e+00
2.071289062499992450e-02 1.652929687500002354e+00
1.951660156249990230e-02 1.234179687500002176e+00
1.209960937499987566e-02 1.201367187500002487e+00
1.630371093749993783e-02 1.279882812500001910e+00
1.339843749999991562e-02 8.265625000000016431e-01
1.404785156249999112e-02 1.135058593750001954e+00
9.912109374999977796e-03 7.464843750000013101e-01
1.442382812500009326e-02 1.135937500000002487e+00
2.166992187499983125e-02 1.758496093750002487e+00
1.640624999999995559e-02 1.277832031250002442e+00
1.804687500000001776e-02 1.420410156250002442e+00
1.360351562499984013e-02 1.116894531250002043e+00
1.555175781249984457e-02 1.449707031250002220e+00
1.250976562499983569e-02 1.111621093750000844e+00
1.517578124999996447e-02 9.500976562500015321e-01
2.426757812500002220e-02 1.561425781250003197e+00
1.312499999999994227e-02 8.924804687500009770e-01
2.290039062499993339e-02 1.694433593750002132e+00
1.438964843750001332e-02 1.253320312500002087e+00
1.667968749999992895e-02 1.435839843750002842e+00
1.268066406249990230e-02 1.088281250000001643e+00
1.274902343749984013e-02 1.103515625000001554e+00
1.726074218749995559e-02 1.282910156250002487e+00
1.914062499999991118e-02 1.575976562500002398e+00
1.729492187500003553e-02 1.445800781250002220e+00
2.006347656249996003e-02 1.068457031250002132e+00
2.768554687499991118e-02 1.951464843750001954e+00
1.456054687499996891e-02 1.136328125000002132e+00
1.832031249999999112e-02 1.612890625000002354e+00
2.413085937500014655e-02 1.819042968750002709e+00
2.515624999999999112e-02 1.285449218750002176e+00
1.821777343749997335e-02 1.209960937500001554e+00
2.484863281250004885e-02 1.849316406250003153e+00
1.708984375000000000e-02 1.308300781250002709e+00
1.681640625000002665e-02 1.343066406250002842e+00
1.517578124999996447e-02 1.026074218750001599e+00
