# This is the data for the Hubble and q0 maps for the following parameters: 
#  3072 points, q0f= -0.574, h0f= 0.678, zup= 0.1, zdown= 0.0
# 
#  h0u h0u_err h0d h0d_err q0u q0u_err q0d q0d_err
7.229367896081098088e-01 2.117927614134458916e-03 7.260282038837710950e-01 2.716187550786498123e-03 2.695903249364083987e+00 1.489722704583530399e-01 2.471122487039207449e+00 1.794232644507998409e-01
7.225476470038524335e-01 2.118510522165479790e-03 7.266365472674450876e-01 2.712476396521849766e-03 2.693847472870681603e+00 1.497117359314870666e-01 2.484547768151257774e+00 1.788576033470289928e-01
7.220780154702757248e-01 2.109255658147956691e-03 7.272367308076126413e-01 2.732394484575038050e-03 2.671667518854947243e+00 1.475996581075524616e-01 2.500603307339857917e+00 1.791947221099689513e-01
7.222799159539518010e-01 2.107499624393896921e-03 7.272125418778599970e-01 2.729177664515259824e-03 2.708190318128494756e+00 1.493953661793909204e-01 2.471974661276337581e+00 1.792355101473708801e-01
7.212406278521645842e-01 2.113393938907095603e-03 7.290216458221234763e-01 2.713483833558830941e-03 2.624835223697123965e+00 1.497715438306017610e-01 2.594664448442797866e+00 1.750054166930062882e-01
7.206339929242192577e-01 2.112006501414366664e-03 7.295805907705454896e-01 2.719770202232295840e-03 2.587891058590722437e+00 1.499066816583114470e-01 2.609236281731025731e+00 1.777466153102232049e-01
7.210616630183596110e-01 2.118817643495157169e-03 7.283054858060399317e-01 2.711343867085975676e-03 2.653898399511255057e+00 1.510302113414795921e-01 2.496667383958985020e+00 1.766749929626053317e-01
7.206419321740904493e-01 2.111376484208363821e-03 7.290987399429903482e-01 2.713025193365173685e-03 2.609015985079552014e+00 1.501058508718649820e-01 2.564161971934026063e+00 1.767784895544102786e-01
7.214046086934486901e-01 2.094175954695428818e-03 7.277784763047068228e-01 2.760367780897518206e-03 2.651578618134841747e+00 1.465662104995462955e-01 2.460358518066537936e+00 1.814682165395720137e-01
7.215839436872538704e-01 2.068907630710420560e-03 7.276929886741820841e-01 2.844496041178114481e-03 2.548564661514599816e+00 1.408451698197351609e-01 2.625179590521715234e+00 2.031364935202778776e-01
