# [SH0ES_CALIB] This is the data for LCDM distribution with a new set of data for each repetition
# 500 repetitions, 3072 points, q0f= -0.574 h0f= 0.7304
# 
# delta_h0_lcdm_max            delta_q0_lcdm_max
1.575232012620353395e-02 1.016232617925103554e+00
1.371863619742519358e-02 1.199233857526828206e+00
1.812722273235511938e-02 1.248788196500156156e+00
1.359698992501867654e-02 1.156814538789442182e+00
1.186454052569330120e-02 8.903008743218050469e-01
1.554608993987460774e-02 1.259202381781881375e+00
2.238487901460517460e-02 1.641993578394538966e+00
1.284816111128150862e-02 1.322428439198598538e+00
1.581328555514527334e-02 1.341422380552866001e+00
1.954783615690502963e-02 1.283360362883638750e+00
2.054523086003989807e-02 1.690837428633797268e+00
1.785879700299619621e-02 1.638739519857934646e+00
1.727579459702810460e-02 1.054697636818722195e+00
2.227352305160301693e-02 1.635493531473320772e+00
1.992123706825499330e-02 1.350968588742515353e+00
2.817135802466264050e-02 2.214260094440332782e+00
1.576094107560277457e-02 1.207498790339016415e+00
3.037339189533627692e-02 2.241322987523346910e+00
2.172781868455009313e-02 1.483915159527986916e+00
2.263568035888696706e-02 1.892818475249442800e+00
1.258497904440847304e-02 8.542337403929618489e-01
1.483520359384182807e-02 1.042999836073017939e+00
2.328525639031819860e-02 1.866757631482865110e+00
1.329534140615085125e-02 1.069179294571868555e+00
2.062177928134611982e-02 1.564733952363003056e+00
1.411526516331407244e-02 1.317151034345286131e+00
1.369412598510821866e-02 9.325693017807590302e-01
1.395037458638048733e-02 1.006075868898413050e+00
2.017972986434457550e-02 1.443486654625915300e+00
1.503151226707533095e-02 9.765769227577164591e-01
2.411246817430257039e-02 1.881554928707145358e+00
2.156470203258908924e-02 1.526529491244940084e+00
1.523757961681893036e-02 1.227315277588129971e+00
1.692496323127512525e-02 1.309752042788241200e+00
2.186376535071010707e-02 1.856418877498238196e+00
1.894795160261342204e-02 1.466999379596506836e+00
2.153408093279995938e-02 1.491202255381292918e+00
2.110565578120171537e-02 1.548214069289299610e+00
1.415128877047056033e-02 1.278851368941448019e+00
1.717498779536208442e-02 1.218331278309839227e+00
1.239764308989577124e-02 9.740151381330475200e-01
1.449047553999427418e-02 1.066732812063008407e+00
2.469190990889003068e-02 1.556935618706236202e+00
2.134645210093932821e-02 1.562680214289184244e+00
1.163080654563186656e-02 1.033362300942422207e+00
1.645185602034948680e-02 1.173259437151632056e+00
2.257845814251813188e-02 1.143357498436134101e+00
1.639121191980830172e-02 1.273644737555226003e+00
1.792182370982220441e-02 1.472014854590148136e+00
1.380592155511106700e-02 8.491571651156890610e-01
1.837731614388316004e-02 1.617267987120677430e+00
2.134716387453816644e-02 1.771996766716439797e+00
1.792524923894012190e-02 1.325024730175325516e+00
2.070218430123005326e-02 1.365334322821695201e+00
1.620305803701105329e-02 1.289513380377871776e+00
1.405498991986997570e-02 9.832770108019316391e-01
1.690728221208248616e-02 1.337057276437803255e+00
1.675722406516055862e-02 1.056841524254032771e+00
2.223142733683192152e-02 1.466867437826542719e+00
1.295715453798595984e-02 1.080412831260715079e+00
1.595942302765307463e-02 1.210036139588585025e+00
1.846420751411470551e-02 1.138998350655961334e+00
1.260820756865965730e-02 1.123727961237567019e+00
2.056102447273966405e-02 1.609679311373265698e+00
1.617674217320874686e-02 1.404533411442575597e+00
1.660896679912382545e-02 1.148864658611758793e+00
1.467080720161029195e-02 8.975947728454167773e-01
1.449212716271508494e-02 1.137759238943238715e+00
1.396185964744312002e-02 1.053209220546523550e+00
1.542469988238237555e-02 1.085200498546595949e+00
1.393629309481858591e-02 1.068997003479652319e+00
2.484720688981190140e-02 1.865528289540026918e+00
1.254395339178959734e-02 1.309164362281605598e+00
1.455812811664880524e-02 1.206545837474604532e+00
1.610150392612141879e-02 1.464731294049589350e+00
1.946302244222652966e-02 1.499067473623357127e+00
1.771297254327475201e-02 1.094543750714871200e+00
