#[SH0ES_CALIB][HEALPIX] This is the data for ISO distribution with new set of data for each repetition
# 500 repetitions, 1536 points, q0f= -0.574 h0f= 0.678
# 
# delta_h0_iso_max           delta_q0_iso_max
1.305664062499989342e-02 8.971679687500002665e-01
8.920898437499880096e-03 6.487304687500001776e-01
9.877929687500008882e-03 1.012597656250000977e+00
1.011718750000001332e-02 9.157226562500011546e-01
1.186035156249998224e-02 9.882812500000008882e-01
1.199707031249996891e-02 1.136718750000000888e+00
1.189453124999995115e-02 8.889648437500001776e-01
1.069824218749992895e-02 1.150292968750001421e+00
1.370605468749985789e-02 1.069140625000001066e+00
7.929687499999893419e-03 6.397460937500007994e-01
1.155273437500003997e-02 1.191699218750000622e+00
1.001464843749988454e-02 6.929687500000007994e-01
1.117675781249993783e-02 8.271484375000000000e-01
1.907226562499986233e-02 1.162500000000000533e+00
8.681640624999875655e-03 7.008789062500002665e-01
1.572265624999991118e-02 8.817382812499996447e-01
1.179199218749993339e-02 8.430664062500006217e-01
1.093750000000004441e-02 8.163085937500009770e-01
8.442382812499871214e-03 7.222656250000012434e-01
1.237304687499984901e-02 1.019140625000001243e+00
1.428710937499988454e-02 7.179687500000007105e-01
9.843749999999928946e-03 1.173925781250000799e+00
1.025390625000000000e-02 9.209960937500007994e-01
1.227050781249994227e-02 9.386718750000015987e-01
1.459472656250004885e-02 1.112792968750001332e+00
7.998046874999831246e-03 1.086132812500000711e+00
9.570312499999955591e-03 9.258789062500003553e-01
9.467773437499826805e-03 8.629882812500007105e-01
1.032226562500004885e-02 6.930664062500007105e-01
8.203124999999866773e-03 7.684570312500009770e-01
1.397949218749994227e-02 1.202441406250000622e+00
8.237304687499835687e-03 7.608398437500007994e-01
1.257812499999988454e-02 9.004882812500007994e-01
8.100585937499849010e-03 7.142578125000009770e-01
1.483398437499994227e-02 1.007421875000001243e+00
1.069824218749992895e-02 8.131835937500011546e-01
1.124511718749998668e-02 8.338867187500009770e-01
1.039062499999998668e-02 7.707031250000002665e-01
8.852539062499831246e-03 8.780273437500007994e-01
1.083496093749991562e-02 8.345703125000003553e-01
1.121093750000001776e-02 7.016601562500000000e-01
8.066406249999880096e-03 6.858398437500006217e-01
1.104003906250006217e-02 7.703125000000006217e-01
1.244140624999978684e-02 8.375976562500002665e-01
9.877929687499897859e-03 8.432617187500004441e-01
9.125976562499804601e-03 7.632812500000007994e-01
1.312499999999994227e-02 8.575195312500012434e-01
1.209960937499987566e-02 8.281250000000008882e-01
1.028808593750007994e-02 9.192382812500001776e-01
1.305664062499989342e-02 1.186132812500000799e+00
9.741210937499911182e-03 8.732421875000007105e-01
1.237304687499996003e-02 7.555664062500002665e-01
9.707031249999942268e-03 5.708984375000012434e-01
1.449218749999992006e-02 9.581054687500007994e-01
7.211914062499880096e-03 6.214843750000009770e-01
1.244140625000000888e-02 7.543945312500008882e-01
1.285156249999985789e-02 8.471679687500008882e-01
1.076660156249997780e-02 7.259765625000000888e-01
8.203124999999866773e-03 6.771484375000005329e-01
1.230468749999991118e-02 9.228515625000008882e-01
1.268066406249990230e-02 8.816406249999997335e-01
1.148437499999999112e-02 6.290039062499999112e-01
1.117675781250004885e-02 9.856445312500001776e-01
9.843749999999928946e-03 9.727539062500003553e-01
9.228515624999822364e-03 6.648437500000001776e-01
1.045898437499992450e-02 6.773437500000003553e-01
5.605468750000008882e-03 6.174804687500001776e-01
9.536132812499986677e-03 6.909179687500004441e-01
1.223632812499997335e-02 9.349609375000005329e-01
1.503906249999986677e-02 9.872070312500009770e-01
9.296874999999871214e-03 8.254882812500010658e-01
1.794433593750000000e-02 1.243945312500001066e+00
1.056152343750005329e-02 7.749023437500008882e-01
1.196289062499988898e-02 7.257812500000007105e-01
1.415039062499989786e-02 7.036132812500008882e-01
1.288574218749993783e-02 9.414062500000008882e-01
9.707031250000053291e-03 1.022753906250000622e+00
9.160156249999773515e-03 6.825195312500005329e-01
8.818359374999751310e-03 7.718750000000005329e-01
1.356933593749987121e-02 1.067578125000000711e+00
1.285156249999985789e-02 8.625000000000007105e-01
1.199707031249996891e-02 1.017285156250001155e+00
1.073242187500000888e-02 9.491210937500005329e-01
1.172363281249999556e-02 1.172656250000000178e+00
1.674804687499997780e-02 1.485449218750000355e+00
1.148437499999999112e-02 9.166992187500015987e-01
1.151855468749984901e-02 9.046875000000005329e-01
9.638671874999893419e-03 9.272460937500004441e-01
1.534667968749980904e-02 7.643554687500007105e-01
7.177734375000022204e-03 7.300781250000012434e-01
9.570312499999844569e-03 6.696289062500002665e-01
1.189453124999984013e-02 1.242382812500001155e+00
1.421874999999994671e-02 1.204589843750001332e+00
8.681640624999875655e-03 7.580078125000007105e-01
1.069824218750015099e-02 8.763671875000009770e-01
1.671386718750000888e-02 1.219921875000001155e+00
1.090332031250007550e-02 9.863281250000008882e-01
1.069824218750003997e-02 7.591796875000014211e-01
8.818359374999862332e-03 7.645507812500009770e-01
7.587890624999982236e-03 7.721679687499998224e-01
8.920898437499769074e-03 7.649414062500006217e-01
1.295410156249987566e-02 9.917968750000007994e-01
1.551757812499998668e-02 7.842773437500003553e-01
9.296874999999871214e-03 6.316406249999997335e-01
1.469726562499995559e-02 8.856445312500009770e-01
9.809570312499960032e-03 8.528320312500010658e-01
1.254394531249980460e-02 1.146093750000000355e+00
9.843749999999928946e-03 6.292968750000005329e-01
1.059570312500002220e-02 8.908203125000007105e-01
1.343261718749988454e-02 1.057421875000001066e+00
1.049316406249989342e-02 7.998046875000008882e-01
7.963867187499973355e-03 7.052734375000007105e-01
1.008300781250004441e-02 7.651367187500004441e-01
1.086914062499988454e-02 8.380859375000002665e-01
1.021972656249992006e-02 6.513671875000008882e-01
1.356933593749987121e-02 1.004296875000000977e+00
1.551757812500009770e-02 1.154785156250000444e+00
1.028808593750007994e-02 8.869140625000011546e-01
1.490234374999999112e-02 1.068457031250000799e+00
1.298828124999984457e-02 1.042578125000000799e+00
1.155273437500003997e-02 9.620117187500012434e-01
1.196289062500000000e-02 8.982421875000010658e-01
1.196289062500000000e-02 8.201171875000010658e-01
1.626953124999996891e-02 1.060937500000000977e+00
9.365234374999920064e-03 6.250976562500007994e-01
1.049316406250000444e-02 1.045019531250001243e+00
7.587890624999871214e-03 1.043554687499999911e+00
1.008300781249993339e-02 7.933593750000000888e-01
9.707031249999942268e-03 1.095410156250000711e+00
1.062988281249988010e-02 8.916992187500007994e-01
1.104003906249984013e-02 6.399414062500006217e-01
9.228515624999933387e-03 9.460937500000010658e-01
1.162109374999986677e-02 8.258789062500007105e-01
7.724609374999968914e-03 6.496093750000011546e-01
8.544921874999888978e-03 7.210937500000005329e-01
1.305664062499989342e-02 7.464843750000014211e-01
1.240722656249981792e-02 9.832031250000010658e-01
1.223632812499997335e-02 1.162109375000000888e+00
7.895507812499924505e-03 5.444335937500004441e-01
1.186035156249998224e-02 1.118847656250001155e+00
1.124511718749998668e-02 8.522460937500007105e-01
1.315917968749980016e-02 1.017871093750001066e+00
1.073242187500000888e-02 7.847656250000003553e-01
1.001464843749999556e-02 7.100585937500007994e-01
1.062988281249999112e-02 8.483398437500011546e-01
9.160156249999884537e-03 6.399414062500010658e-01
1.592773437499994671e-02 1.183691406250000799e+00
1.131347656250003553e-02 9.630859375000007105e-01
1.244140624999978684e-02 1.081054687500000888e+00
9.843749999999928946e-03 6.070312500000012434e-01
1.175781249999996447e-02 9.040039062500002665e-01
8.715820312499844569e-03 6.244140624999996447e-01
8.442382812499982236e-03 8.271484375000004441e-01
1.667968750000003997e-02 1.061230468750001155e+00
1.114257812500007994e-02 8.534179687500000888e-01
1.209960937499998668e-02 6.925781250000007105e-01
1.203124999999993783e-02 9.014648437499999112e-01
9.638671874999893419e-03 6.476562500000007105e-01
9.707031249999942268e-03 1.216796875000001332e+00
1.148437499999999112e-02 1.045019531250001243e+00
7.622070312499951150e-03 1.049707031250000977e+00
9.843749999999928946e-03 9.464843750000007105e-01
9.604492187499924505e-03 8.563476562500005329e-01
1.312499999999994227e-02 1.261914062499999822e+00
1.076660156249986677e-02 8.166992187500015099e-01
1.203124999999993783e-02 1.063867187500001421e+00
6.494140624999977796e-03 8.560546875000012434e-01
1.083496093750013767e-02 7.294921875000008882e-01
1.186035156249987121e-02 7.333007812500005329e-01
1.302246093749992450e-02 1.362304687500000888e+00
1.151855468750007105e-02 1.024414062500000888e+00
1.397949218750005329e-02 1.257324218750000888e+00
1.121093749999990674e-02 8.968750000000014211e-01
9.399414062499777955e-03 1.135742187500001332e+00
6.870117187499968914e-03 5.469726562499999112e-01
1.090332031250007550e-02 7.540039062500016875e-01
1.196289062499988898e-02 9.036132812500010658e-01
1.032226562500004885e-02 8.747070312500011546e-01
9.775390624999880096e-03 8.284179687500010658e-01
1.531249999999995115e-02 1.158105468750001421e+00
9.467773437499937828e-03 6.620117187500005329e-01
1.941406249999999556e-02 1.535839843750000711e+00
1.192871093749992006e-02 8.063476562500002665e-01
8.408203124999902300e-03 8.130859375000003553e-01
1.380859374999998668e-02 1.241015625000001510e+00
8.715820312499844569e-03 8.389648437500007994e-01
1.216796874999992450e-02 7.855468750000005329e-01
1.145019531250002220e-02 8.360351562500003553e-01
7.587890624999982236e-03 5.909179687500007994e-01
1.182617187500001332e-02 1.084277343750001510e+00
1.456054687499996891e-02 1.170800781250001421e+00
1.274902343749995115e-02 1.051953125000001155e+00
9.091796874999835687e-03 7.555664062500007105e-01
8.237304687499946709e-03 7.070312500000017764e-01
1.179199218750004441e-02 9.580078125000004441e-01
1.647460937499989342e-02 1.065332031250000533e+00
1.039062499999987566e-02 1.025292968750000533e+00
8.613281249999937828e-03 6.871093750000003553e-01
9.433593749999857891e-03 1.011328125000001243e+00
1.045898437499992450e-02 6.749023437500007994e-01
9.296874999999982236e-03 9.955078125000005329e-01
1.127929687499995559e-02 7.139648437500007994e-01
1.028808593749996891e-02 1.008886718750000799e+00
7.895507812499924505e-03 7.888671875000006217e-01
1.021972656249992006e-02 9.522460937500012434e-01
1.168945312500002665e-02 1.065722656250000622e+00
9.160156249999773515e-03 5.657226562500006217e-01
8.613281249999826805e-03 7.889648437500005329e-01
9.057617187499866773e-03 7.919921875000004441e-01
7.143554687499942268e-03 7.215820312500005329e-01
1.254394531249991562e-02 1.144628906250001243e+00
7.929687499999893419e-03 7.367187500000005329e-01
1.179199218749993339e-02 9.782226562500011546e-01
1.223632812499986233e-02 7.142578125000014211e-01
8.134765624999817923e-03 1.010546875000001066e+00
1.503906249999986677e-02 1.217968750000001599e+00
1.182617187500001332e-02 8.154296875000008882e-01
1.182617187500001332e-02 7.448242187500007105e-01
1.104003906250006217e-02 9.946289062500008882e-01
1.240722656249992895e-02 1.135937500000000711e+00
1.025390624999988898e-02 8.208007812500004441e-01
1.076660156249997780e-02 8.144531250000004441e-01
7.109374999999973355e-03 6.378906250000007105e-01
8.613281249999826805e-03 6.367187500000004441e-01
1.134765624999989342e-02 7.421875000000008882e-01
1.052734374999997335e-02 8.715820312500013323e-01
1.247558593749986677e-02 9.710937500000009770e-01
1.346679687499985345e-02 1.076757812500000355e+00
1.086914062499999556e-02 6.989257812500007105e-01
8.237304687499835687e-03 8.202148437500009770e-01
9.091796874999946709e-03 1.137011718750000622e+00
9.946289062499835687e-03 9.475585937500006217e-01
1.555175781249995559e-02 1.109863281250001776e+00
1.196289062500000000e-02 8.899414062500010658e-01
1.049316406250000444e-02 6.847656250000007105e-01
8.989257812499928946e-03 1.028906250000000799e+00
9.946289062499946709e-03 1.111035156250000711e+00
7.143554687499942268e-03 6.327148437500000888e-01
1.039062499999987566e-02 1.058496093750000977e+00
8.544921874999888978e-03 8.681640625000004441e-01
6.733398437499982236e-03 5.024414062500000000e-01
9.365234374999809042e-03 9.179687500000004441e-01
1.257812499999988454e-02 9.454101562500003553e-01
1.274902343749995115e-02 1.065527343750001243e+00
1.073242187499989786e-02 8.127929687500006217e-01
7.758789062499937828e-03 7.172851562500004441e-01
1.073242187500011990e-02 1.084082031250000799e+00
1.179199218749993339e-02 1.002832031250000533e+00
9.741210937499911182e-03 7.207031250000004441e-01
1.090332031249996447e-02 9.770507812500008882e-01
1.538085937500011102e-02 1.324316406250000799e+00
1.497070312499992895e-02 1.100097656250000888e+00
8.852539062499831246e-03 9.463867187500003553e-01
1.028808593749996891e-02 1.062500000000000888e+00
1.127929687499995559e-02 1.017089843750000444e+00
1.257812499999988454e-02 9.405273437500007994e-01
1.199707031249996891e-02 9.708984375000007105e-01
1.312499999999983125e-02 9.973632812500006217e-01
7.861328124999955591e-03 4.908203124999999112e-01
1.052734374999997335e-02 7.250976562500008882e-01
8.339843749999853451e-03 7.166992187500005329e-01
1.073242187500000888e-02 7.341796875000015099e-01
9.501953124999906741e-03 7.035156250000005329e-01
1.114257812500007994e-02 8.148437500000000888e-01
1.162109374999986677e-02 1.149707031250001066e+00
9.604492187499813483e-03 8.585937500000002665e-01
1.114257812499996891e-02 9.894531250000007105e-01
8.237304687499946709e-03 7.352539062500000888e-01
1.114257812500007994e-02 9.731445312500017764e-01
9.707031249999942268e-03 8.379882812500007994e-01
