# This is the data for the dw statistics for the following parameters: 
#  3072 points, q0f= -0.574, h0f= 0.7304, zup= 0.1, zdown= 0.0
#  dw_up dw_down
1.425175340886158493e+00 1.308080785438740845e+00
1.404706358766513175e+00 1.351746735511097475e+00
1.364514081632212328e+00 1.411435993265764077e+00
1.139804286133148103e+00 1.524831609200798077e+00
1.150813504542951060e+00 1.560323207772773557e+00
1.167641570685419294e+00 1.544443794951035009e+00
1.161896025346296879e+00 1.651232084647032305e+00
1.158951172312341127e+00 1.654441230937045093e+00
1.202739637110473270e+00 1.620988323110768015e+00
1.236762035885244249e+00 1.673799565878885787e+00
1.225111130864377174e+00 1.625177450279002622e+00
1.185989016980025346e+00 1.790180107803802656e+00
1.231829879717038390e+00 1.832285462024302980e+00
1.223131947451062018e+00 1.829568945186666129e+00
1.275565098818364884e+00 1.802289134843416241e+00
1.291398040093618249e+00 1.822264803285942758e+00
1.286827489559362103e+00 1.789927287371130271e+00
1.276996670367527065e+00 1.754607751950876260e+00
1.278441263656340920e+00 1.710091959531764294e+00
1.298655553201619073e+00 1.734018433454993735e+00
1.296606291574553094e+00 1.742516833668772858e+00
1.324291792309862270e+00 1.701564219401390687e+00
1.305165021019229155e+00 1.727221817609674082e+00
1.311354855704909284e+00 1.700427043372631175e+00
1.339109089989185764e+00 1.703359658851457237e+00
1.317342510382814025e+00 1.734402552889519500e+00
1.293919587357965861e+00 1.767363880327275316e+00
1.281333040288876512e+00 1.667834781678956046e+00
1.330306731830740219e+00 1.630379236755900907e+00
1.301725216131158325e+00 1.487756899924470799e+00
1.301959745039421801e+00 1.611957823374480014e+00
1.352023089018695723e+00 1.554755571363772404e+00
1.367156060058870803e+00 1.590575081216735187e+00
1.480732779448760583e+00 1.464557163228842995e+00
1.540678094345646842e+00 1.346371844463700729e+00
1.532329366480120303e+00 1.283881989579118699e+00
1.481027172828777605e+00 1.266439622251304131e+00
1.490199331838927277e+00 1.205870985956422059e+00
1.450712504655132795e+00 1.194350713561390442e+00
1.451293419904775783e+00 1.198273477532754594e+00
1.413866189406281393e+00 1.186800872582286503e+00
1.416735987064709157e+00 1.226929703606110644e+00
1.423273614383204766e+00 1.302848382803184935e+00
1.453386346394270001e+00 1.340793847829628183e+00
1.440430180912898983e+00 1.350267400027436615e+00
1.434753937736936047e+00 1.247015550297479125e+00
1.461886087592043193e+00 1.310529076979929819e+00
1.410970404721652249e+00 1.289583407795275249e+00
1.393504304047761710e+00 1.318612121446607333e+00
1.422725040690069553e+00 1.262738172133707204e+00
1.431976772244537122e+00 1.290905629222591111e+00
1.415699431805931274e+00 1.360750377901567942e+00
1.393748043703099349e+00 1.391253934335078490e+00
1.390121007020837851e+00 1.374545785473026527e+00
1.379091450871717139e+00 1.385192172133121513e+00
