# [SH0ES_CALIB]This is the data for ISO distributed Sne positions with a new set of data for each repetition.
# 500 repetitions, 3072 points, q0f= -0.574 h0f= 0.7304
# 
# delta_h0_iso_max            delta_q0_iso_max
1.068190477522346082e-02 8.072025255120149900e-01
9.389147507578243790e-03 6.691453186122925390e-01
1.001781790248335025e-02 7.288934530177832993e-01
7.716099853585123292e-03 5.218056996403340753e-01
1.229578554142896074e-02 8.192740069403626757e-01
1.311005522696229164e-02 1.009947439435726402e+00
1.258638456159033581e-02 8.828575399859920347e-01
9.569564298092969601e-03 6.137104740693761773e-01
9.517094289387184602e-03 9.255108963769509423e-01
1.227147037582854150e-02 1.032211907994065925e+00
1.503905110302228287e-02 1.120542661339941404e+00
1.130706453472807294e-02 7.469914608381085230e-01
1.083540619858491816e-02 7.171662159834919503e-01
1.088648613550968758e-02 9.221434906645016305e-01
7.825502733522782250e-03 6.843796895780551726e-01
1.184381906596776446e-02 9.066966273007084354e-01
1.513574416695551150e-02 9.874952015660946048e-01
7.314098092274012863e-03 5.651358508175206019e-01
9.806561894612708663e-03 7.932693914362698440e-01
1.251566682668781016e-02 1.001710133704237560e+00
9.720943623027222813e-03 8.153325795991761549e-01
1.131074794180342291e-02 8.384630870563227756e-01
9.542762007456517814e-03 8.489663004699474769e-01
1.099135799338191166e-02 8.084924985589508895e-01
1.247696649235063848e-02 9.098758911044854125e-01
1.381224217818410871e-02 1.114949482028595007e+00
1.166904863374207402e-02 9.305776874640993013e-01
1.455500165315193328e-02 1.059405899174103993e+00
1.108824416045817163e-02 8.610278208727260019e-01
9.373141016475128318e-03 8.780673010195705341e-01
1.305064010446166378e-02 8.665046166191701094e-01
1.028875052702193926e-02 7.557878978727151642e-01
1.049668564507666435e-02 9.111160503555779666e-01
9.951868771977623318e-03 8.590153301059307855e-01
9.352208208481926910e-03 9.569662784634940245e-01
9.744142496779129026e-03 8.853364269792356467e-01
9.766772071246876408e-03 7.111721449098453718e-01
7.208929746771008951e-03 6.176689645574312548e-01
1.537866276422616973e-02 1.082842898639601925e+00
6.754150810618364531e-03 5.579540417315336231e-01
9.375860713537687019e-03 7.254942347154758053e-01
1.162020886051851054e-02 9.899787379366961071e-01
1.300840952885207180e-02 9.629773967986218208e-01
1.025966928284316459e-02 8.283595910576466714e-01
1.479221910726313816e-02 9.876084349591333078e-01
9.400318779645311373e-03 6.988626097894632405e-01
1.318473248957718891e-02 8.935103357384666101e-01
8.157594542931301262e-03 8.020904596469157211e-01
8.007300339547773760e-03 6.376670768919792120e-01
1.393461175452370693e-02 1.174448541922444189e+00
7.535701002899131140e-03 6.289202182107673789e-01
1.079201645298677459e-02 7.170894995203337396e-01
1.408473675098220745e-02 9.670667613485085523e-01
1.025557396399967569e-02 7.981177338040403857e-01
7.166786832597527024e-03 5.730474195475596666e-01
1.095737344208480568e-02 9.789080260248688159e-01
1.177946203373536616e-02 8.224308527874888419e-01
